isin,list,last_date,cur,price_change,price_bid,price_ask,price_avg,price_open,price_close,price_high,price_low,yield_change,yield_bid,yield_ask,yield_avg,yield_open,yield_close,yield_high,yield_low,vol,snapshot_date,market
AMCOVSB2QER3,ABOND,2026-07-30,USD,-,100.3806,100.8574,-,-,-,-,-,-,4.8200,4.6000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMCRFOB21ER6,BBOND,2026-07-30,AMD,-,101.2965,102.0362,-,-,-,-,-,-,11.7500,11.1906,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMDLNTB21ER0,BBOND,2026-07-30,AMD,-,102.8682,103.9778,-,-,-,-,-,-,12.0000,11.4450,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMDLNTB22ER8,BBOND,2026-07-30,USD,-,99.97,100.2942,100.2942,100.2942,100.2942,100.2942,100.2942,-,8.7534,8.5940,8.5940,8.5940,8.5940,8.5940,8.5940,100,2026-07-31,corporate_bonds
AMEABRB21ER0,ABOND,2026-07-30,USD,-,100.0806,100.0891,-,-,-,-,-,-,4.0999,3.9091,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMEVTMB21ER9,ABOND,2026-07-30,AMD,-,100.8035,100.9551,-,-,-,-,-,-,9.8500,9.3810,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFARMB21ER4,BBOND,2026-07-30,AMD,-,100.7556,100.8624,-,-,-,-,-,-,9.2499,8.8302,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFMGCB25ER4,BBOND,2026-07-30,AMD,-,101.8845,102.265,-,-,-,-,-,-,9.5460,9.1000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFMGCB26ER2,BBOND,2026-07-30,USD,-,100.5553,100.8102,-,-,-,-,-,-,6.3464,6.0500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFNCAB2GER5,BBOND,2026-07-30,AMD,-,101.4911,101.6415,-,-,-,-,-,-,8.2000,7.8244,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFNCAB2HER3,BBOND,2026-07-30,AMD,-,102.2029,102.7652,-,-,-,-,-,-,9.9500,9.5001,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFNCAB2IER1,BBOND,2026-07-30,AMD,-,101.7081,102.3918,-,-,-,-,-,-,10.2800,9.8000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFNCAB2JER9,BBOND,2026-07-30,AMD,-,102.4872,103.3522,-,-,-,-,-,-,10.3400,9.8600,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFNCAB2KER7,BBOND,2026-07-30,AMD,-,102.7831,103.7831,-,-,-,-,-,-,10.3800,9.9000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2DER8,BBOND,2026-07-30,AMD,-,-,100.58,100.493,100.493,100.493,100.493,100.493,-,-,8.2998,8.7000,8.7000,8.7000,8.7000,8.7000,200,2026-07-31,corporate_bonds
AMFSCRB2EER6,BBOND,2026-07-30,AMD,-,100.9028,101.4004,-,-,-,-,-,-,9.4400,9.0000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2FER3,BBOND,2026-07-30,USD,-,100.3426,100.6425,100.6425,100.6425,100.6425,100.6425,100.6425,-,5.9500,5.6900,5.6900,5.6900,5.6900,5.6900,5.6900,40,2026-07-31,corporate_bonds
AMFSCRB2GER1,BBOND,2026-07-30,EUR,-,103.0801,103.224,-,-,-,-,-,-,2.6300,2.5100,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2HER9,BBOND,2026-07-30,AMD,-,101.3953,102.0377,-,-,-,-,-,-,9.7500,9.3000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2IER7,BBOND,2026-07-30,USD,-,100.2144,100.6245,-,-,-,-,-,-,6.1000,5.8200,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2JER5,BBOND,2026-07-30,EUR,-,103.6888,103.8898,-,-,-,-,-,-,2.8000,2.6700,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2KER3,BBOND,2026-07-30,AMD,-,100.8926,101.3282,100.8926,100.8926,100.8926,100.8926,100.8926,-,9.8000,9.3430,9.8000,9.8000,9.8000,9.8000,9.8000,6,2026-07-31,corporate_bonds
AMFSCRB2LER1,BBOND,2026-07-30,USD,-,100.5255,100.7913,-,-,-,-,-,-,5.7079,5.4361,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2MER9,BBOND,2026-07-30,USD,-,100.1336,100.4501,-,-,-,-,-,-,6.1186,5.8300,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2NER7,BBOND,2026-07-30,AMD,-,100.8214,101.3595,-,-,-,-,-,-,10.0227,9.5700,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2OER5,BBOND,2026-07-30,USD,-,99.774,100.2016,-,-,-,-,-,-,6.1500,5.8600,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSCRB2PER2,BBOND,2026-07-30,USD,-,99.6797,100.6276,-,-,-,-,-,-,6.3500,6.0500,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMFSTLB21ER4,BBOND,2026-07-30,AMD,-1.1269,98.9806,101.2184,100.0261,99.9571,98.861,101.2184,98.861,0.5572,13.4976,12.4000,12.9824,13.0150,13.5571,13.5571,12.4000,218,2026-07-31,corporate_bonds
